Wk,Day,Date,Time,Home,Away,Referee,Home Goals,Away Goals
1.0,Sat,2023-04-01,15:00,Malmö,Kalmar,Mohammed Al Hakim,1.0,0.0
1.0,Sat,2023-04-01,17:30,Djurgården,Brommapojkarna,Andreas Ekberg,3.0,1.0
1.0,Sun,2023-04-02,15:00,Hammarby,Degerfors,Granit Maqedonci,3.0,1.0
1.0,Sun,2023-04-02,15:00,Norrköping,Sirius,Fredrik Klitte,1.0,1.0
1.0,Sun,2023-04-02,17:30,Göteborg,Värnamo,Adam Ladebäck,0.0,1.0
1.0,Sun,2023-04-02,17:30,Halmstad,AIK Stockholm,Joakim Östling,2.0,1.0
1.0,Mon,2023-04-03,19:00,Mjällby,Varberg,Victor Wolf,2.0,2.0
1.0,Mon,2023-04-03,19:10,Elfsborg,Häcken,Glenn Nyberg,0.0,2.0
2.0,Sat,2023-04-08,15:00,Brommapojkarna,Malmö,Victor Wolf,1.0,2.0
2.0,Sat,2023-04-08,15:00,Degerfors,Halmstad,Adam Ladebäck,3.0,1.0
2.0,Sun,2023-04-09,15:00,Häcken,Hammarby,Mohammed Al Hakim,3.0,1.0
2.0,Sun,2023-04-09,17:30,Kalmar,Göteborg,Granit Maqedonci,2.0,0.0
2.0,Sun,2023-04-09,17:30,Sirius,Djurgården,Joakim Östling,0.0,0.0
2.0,Mon,2023-04-10,13:00,Värnamo,Mjällby,Fredrik Klitte,0.0,1.0
2.0,Mon,2023-04-10,15:00,AIK Stockholm,Norrköping,Kristoffer Karlsson,0.0,3.0
2.0,Mon,2023-04-10,15:00,Varberg,Elfsborg,Kaspar Sjöberg,0.0,0.0
3.0,Sat,2023-04-15,15:00,Elfsborg,Brommapojkarna,Adam Ladebäck,5.0,0.0
3.0,Sat,2023-04-15,17:30,Häcken,Kalmar,Kristoffer Karlsson,1.0,3.0
3.0,Sun,2023-04-16,15:00,AIK Stockholm,Hammarby,Glenn Nyberg,2.0,0.0
3.0,Sun,2023-04-16,15:00,Norrköping,Värnamo,Kaspar Sjöberg,2.0,1.0
3.0,Sun,2023-04-16,17:30,Halmstad,Djurgården,Victor Wolf,2.0,0.0
3.0,Sun,2023-04-16,17:30,Mjällby,Degerfors,Andreas Ekberg,2.0,0.0
3.0,Mon,2023-04-17,19:00,Varberg,Sirius,Granit Maqedonci,1.0,1.0
3.0,Mon,2023-04-17,19:10,Göteborg,Malmö,Fredrik Klitte,0.0,1.0
4.0,Sat,2023-04-22,15:00,Hammarby,Varberg,Joakim Östling,2.0,0.0
4.0,Sat,2023-04-22,17:30,Degerfors,Elfsborg,Oscar Johnson,1.0,2.0
4.0,Sun,2023-04-23,15:00,Kalmar,Halmstad,Fredrik Klitte,2.0,0.0
4.0,Sun,2023-04-23,15:00,Djurgården,Göteborg,Mohammed Al Hakim,1.0,0.0
4.0,Sun,2023-04-23,17:30,Sirius,Häcken,Kaspar Sjöberg,1.0,4.0
4.0,Mon,2023-04-24,19:00,Värnamo,AIK Stockholm,Granit Maqedonci,1.0,0.0
4.0,Mon,2023-04-24,19:00,Brommapojkarna,Mjällby,Glenn Nyberg,2.0,0.0
4.0,Mon,2023-04-24,19:10,Malmö,Norrköping,Adam Ladebäck,3.0,0.0
5.0,Sat,2023-04-29,15:00,AIK Stockholm,Sirius,Fredrik Klitte,0.0,0.0
5.0,Sat,2023-04-29,15:00,Mjällby,Elfsborg,Joakim Östling,0.0,1.0
5.0,Sat,2023-04-29,17:30,Häcken,Värnamo,Andreas Ekberg,3.0,1.0
5.0,Sat,2023-04-29,17:30,Halmstad,Brommapojkarna,Kristoffer Karlsson,0.0,2.0
5.0,Sun,2023-04-30,15:00,Malmö,Hammarby,Mohammed Al Hakim,4.0,2.0
5.0,Sun,2023-04-30,15:00,Varberg,Kalmar,Adam Ladebäck,0.0,0.0
5.0,Sun,2023-04-30,17:30,Degerfors,Djurgården,Granit Maqedonci,2.0,1.0
5.0,Mon,2023-05-01,15:00,Göteborg,Norrköping,Victor Wolf,1.0,1.0
6.0,Wed,2023-05-03,19:00,Häcken,Djurgården,Glenn Nyberg,4.0,1.0
6.0,Wed,2023-05-03,19:00,Mjällby,AIK Stockholm,Kaspar Sjöberg,0.0,0.0
6.0,Wed,2023-05-03,19:00,Elfsborg,Halmstad,Adam Ladebäck,6.0,1.0
6.0,Wed,2023-05-03,19:00,Kalmar,Sirius,Andreas Ekberg,2.0,2.0
6.0,Thu,2023-05-04,19:00,Varberg,Malmö,Victor Wolf,0.0,6.0
6.0,Thu,2023-05-04,19:00,Norrköping,Hammarby,Kristoffer Karlsson,2.0,0.0
6.0,Thu,2023-05-04,19:00,Värnamo,Brommapojkarna,Joakim Östling,0.0,1.0
6.0,Thu,2023-05-04,19:00,Göteborg,Degerfors,Mohammed Al Hakim,6.0,0.0
7.0,Sun,2023-05-07,15:00,Malmö,AIK Stockholm,Glenn Nyberg,3.0,1.0
7.0,Sun,2023-05-07,17:30,Halmstad,Häcken,Victor Wolf,1.0,0.0
7.0,Mon,2023-05-08,19:00,Degerfors,Norrköping,Joakim Östling,0.0,2.0
7.0,Mon,2023-05-08,19:00,Brommapojkarna,Göteborg,Andreas Ekberg,0.0,0.0
7.0,Mon,2023-05-08,19:00,Sirius,Elfsborg,Mohammed Al Hakim,3.0,4.0
7.0,Mon,2023-05-08,19:10,Djurgården,Kalmar,Fredrik Klitte,3.0,1.0
7.0,Tue,2023-05-09,19:00,Hammarby,Mjällby,Granit Maqedonci,0.0,0.0
7.0,Tue,2023-05-09,19:00,Värnamo,Varberg,Kaspar Sjöberg,3.0,1.0
8.0,Sat,2023-05-13,15:00,Häcken,Degerfors,Adam Ladebäck,6.0,1.0
8.0,Sat,2023-05-13,17:30,Varberg,Norrköping,Fredrik Klitte,1.0,3.0
8.0,Sun,2023-05-14,15:00,Hammarby,Djurgården,Mohammed Al Hakim,4.0,3.0
8.0,Sun,2023-05-14,15:00,Elfsborg,Värnamo,Granit Maqedonci,2.0,0.0
8.0,Sun,2023-05-14,15:00,Mjällby,Sirius,Kristoffer Karlsson,3.0,0.0
8.0,Sun,2023-05-14,17:30,Halmstad,Malmö,Andreas Ekberg,0.0,1.0
8.0,Sun,2023-05-14,17:30,Kalmar,Brommapojkarna,Joakim Östling,1.0,3.0
8.0,Mon,2023-05-15,19:10,AIK Stockholm,Göteborg,Victor Wolf,2.0,2.0
9.0,Sat,2023-05-20,15:00,Degerfors,AIK Stockholm,Granit Maqedonci,2.0,1.0
9.0,Sun,2023-05-21,15:00,Malmö,Häcken,Kristoffer Karlsson,2.0,2.0
9.0,Sun,2023-05-21,15:00,Brommapojkarna,Varberg,Richard Sundell,2.0,1.0
9.0,Sun,2023-05-21,15:00,Djurgården,Mjällby,Kaspar Sjöberg,2.0,0.0
9.0,Sun,2023-05-21,17:30,Göteborg,Hammarby,Fredrik Klitte,1.0,1.0
9.0,Sun,2023-05-21,17:30,Sirius,Halmstad,Mohammed Al Hakim,1.0,2.0
9.0,Mon,2023-05-22,19:00,Värnamo,Kalmar,Oscar Johnson,0.0,1.0
9.0,Mon,2023-05-22,19:10,Norrköping,Elfsborg,Andreas Ekberg,1.0,2.0
18.0,Wed,2023-05-24,19:00,Djurgården,Häcken,Joakim Östling,1.0,0.0
18.0,Thu,2023-05-25,19:00,Degerfors,Hammarby,Kaspar Sjöberg,2.0,2.0
10.0,Sat,2023-05-27,15:00,Mjällby,Halmstad,Fredrik Klitte,0.0,2.0
10.0,Sat,2023-05-27,17:30,Brommapojkarna,Sirius,Kristoffer Karlsson,1.0,2.0
10.0,Sun,2023-05-28,15:00,Djurgården,AIK Stockholm,Andreas Ekberg,1.0,0.0
10.0,Sun,2023-05-28,15:00,Kalmar,Norrköping,Adi Aganovic,2.0,1.0
10.0,Sun,2023-05-28,17:30,Elfsborg,Malmö,Joakim Östling,3.0,0.0
10.0,Mon,2023-05-29,19:00,Degerfors,Varberg,Victor Wolf,1.0,1.0
10.0,Mon,2023-05-29,19:00,Hammarby,Värnamo,Mohammed Al Hakim,0.0,2.0
10.0,Mon,2023-05-29,19:10,Häcken,Göteborg,Granit Maqedonci,4.0,1.0
11.0,Sat,2023-06-03,15:00,Göteborg,Mjällby,Richard Sundell,0.0,1.0
11.0,Sat,2023-06-03,17:30,Norrköping,Brommapojkarna,Mohammed Al Hakim,0.0,2.0
11.0,Sun,2023-06-04,15:00,AIK Stockholm,Kalmar,Joakim Östling,1.0,1.0
11.0,Sun,2023-06-04,15:00,Halmstad,Hammarby,Victor Wolf,0.0,0.0
11.0,Sun,2023-06-04,17:30,Sirius,Värnamo,Fredrik Klitte,2.0,0.0
11.0,Sun,2023-06-04,17:30,Elfsborg,Djurgården,Kristoffer Karlsson,1.0,1.0
11.0,Mon,2023-06-05,19:00,Varberg,Häcken,Oscar Johnson,0.0,2.0
11.0,Mon,2023-06-05,19:10,Malmö,Degerfors,Adam Ladebäck,5.0,0.0
12.0,Fri,2023-06-09,19:00,Hammarby,Brommapojkarna,Adam Ladebäck,2.0,1.0
12.0,Sat,2023-06-10,15:00,Kalmar,Degerfors,Magnus Lindgren,2.0,1.0
12.0,Sat,2023-06-10,15:00,Värnamo,Malmö,Andreas Ekberg,1.0,3.0
12.0,Sat,2023-06-10,17:30,Varberg,Halmstad,Adi Aganovic,1.0,2.0
12.0,Sun,2023-06-11,15:00,AIK Stockholm,Elfsborg,Mohammed Al Hakim,1.0,2.0
12.0,Sun,2023-06-11,15:00,Sirius,Göteborg,Oscar Johnson,2.0,0.0
12.0,Sun,2023-06-11,17:30,Häcken,Mjällby,Joakim Östling,3.0,0.0
12.0,Sun,2023-06-11,17:30,Djurgården,Norrköping,Granit Maqedonci,2.0,2.0
13.0,Sat,2023-07-01,15:00,Degerfors,Värnamo,Oscar Johnson,0.0,2.0
13.0,Sat,2023-07-01,15:00,Brommapojkarna,AIK Stockholm,Fredrik Klitte,0.0,2.0
13.0,Sat,2023-07-01,17:30,Malmö,Sirius,Victor Wolf,3.0,0.0
13.0,Sun,2023-07-02,15:00,Norrköping,Häcken,Andreas Ekberg,2.0,2.0
13.0,Sun,2023-07-02,15:00,Halmstad,Göteborg,Joakim Östling,0.0,0.0
13.0,Sun,2023-07-02,17:30,Djurgården,Varberg,Adam Ladebäck,2.0,0.0
13.0,Mon,2023-07-03,19:00,Mjällby,Kalmar,Kristoffer Karlsson,1.0,1.0
13.0,Mon,2023-07-03,19:00,Elfsborg,Hammarby,Granit Maqedonci,2.0,0.0
14.0,Sat,2023-07-08,15:00,AIK Stockholm,Häcken,Glenn Nyberg,1.0,2.0
14.0,Sat,2023-07-08,15:00,Värnamo,Djurgården,Magnus Lindgren,1.0,2.0
14.0,Sat,2023-07-08,17:30,Brommapojkarna,Degerfors,Adi Aganovic,1.0,2.0
14.0,Sun,2023-07-09,15:00,Malmö,Mjällby,Richard Sundell,1.0,2.0
14.0,Sun,2023-07-09,15:00,Sirius,Hammarby,Fredrik Klitte,1.0,2.0
14.0,Sun,2023-07-09,17:30,Kalmar,Elfsborg,Adam Ladebäck,0.0,4.0
14.0,Mon,2023-07-10,19:00,Norrköping,Halmstad,Granit Maqedonci,1.0,2.0
14.0,Mon,2023-07-10,19:00,Göteborg,Varberg,Mohammed Al Hakim,1.0,2.0
15.0,Sat,2023-07-15,15:00,Halmstad,Värnamo,Fredrik Klitte,2.0,2.0
15.0,Sat,2023-07-15,17:30,Häcken,Brommapojkarna,Kristoffer Karlsson,4.0,2.0
15.0,Sat,2023-07-15,17:30,Degerfors,Sirius,Granit Maqedonci,0.0,3.0
15.0,Sun,2023-07-16,15:00,Hammarby,Kalmar,Victor Wolf,3.0,1.0
15.0,Sun,2023-07-16,15:00,Elfsborg,Göteborg,Glenn Nyberg,1.0,1.0
15.0,Sun,2023-07-16,17:30,Mjällby,Norrköping,Oscar Johnson,1.0,2.0
15.0,Mon,2023-07-17,19:00,Djurgården,Malmö,Mohammed Al Hakim,2.0,0.0
15.0,Mon,2023-07-17,19:00,Varberg,AIK Stockholm,Joakim Östling,1.0,2.0
16.0,Fri,2023-07-21,19:00,Brommapojkarna,Hammarby,Glenn Nyberg,1.0,0.0
16.0,Sat,2023-07-22,15:00,Djurgården,Elfsborg,Fredrik Klitte,0.0,4.0
16.0,Sat,2023-07-22,17:30,Värnamo,Häcken,Richard Sundell,1.0,0.0
16.0,Sun,2023-07-23,15:00,AIK Stockholm,Malmö,Adam Ladebäck,0.0,0.0
16.0,Sun,2023-07-23,15:00,Norrköping,Degerfors,Victor Wolf,1.0,0.0
16.0,Sun,2023-07-23,17:30,Göteborg,Halmstad,Andreas Ekberg,0.0,0.0
16.0,Sun,2023-07-23,17:30,Kalmar,Varberg,Granit Maqedonci,1.0,0.0
16.0,Mon,2023-07-24,19:00,Sirius,Mjällby,Joakim Östling,2.0,3.0
